[10/15/2020 15:56:38 : session-3.php : 671] 
1234	0-0-0	2134
1234	0-0-1	1324
1234	0-0-2	1243
1234	0-0-3	1234
1234	0-1-0	3214
1234	0-1-1	2134
1234	0-1-2	2341
1234	0-1-3	2314
1234	0-2-0	1243
1234	0-2-1	2413
1234	0-2-2	2134
1234	0-2-3	2143
1234	0-3-0	1234
1234	0-3-1	2314
1234	0-3-2	2143
1234	0-3-3	2134
1234	1-0-0	1324
1234	1-0-1	3214
1234	1-0-2	3142
1234	1-0-3	3124
1234	1-1-0	2134
1234	1-1-1	1324
1234	1-1-2	1243
1234	1-1-3	1234
1234	1-2-0	3142
1234	1-2-1	1432
1234	1-2-2	1324
1234	1-2-3	1342
1234	1-3-0	3124
1234	1-3-1	1234
1234	1-3-2	1342
1234	1-3-3	1324
1234	2-0-0	1243
1234	2-0-1	2413
1234	2-0-2	2134
1234	2-0-3	2143
1234	2-1-0	4123
1234	2-1-1	1243
1234	2-1-2	1432
1234	2-1-3	1423
1234	2-2-0	2134
1234	2-2-1	1324
1234	2-2-2	1243
1234	2-2-3	1234
1234	2-3-0	2143
1234	2-3-1	1423
1234	2-3-2	1234
1234	2-3-3	1243
1234	3-0-0	1234
1234	3-0-1	2314
1234	3-0-2	2143
1234	3-0-3	2134
1234	3-1-0	3124
1234	3-1-1	1234
1234	3-1-2	1342
1234	3-1-3	1324
1234	3-2-0	2143
1234	3-2-1	1423
1234	3-2-2	1234
1234	3-2-3	1243
1234	3-3-0	2134
1234	3-3-1	1324
1234	3-3-2	1243
1234	3-3-3	1234
